Groups;Case no.;Raw reads;Mapped reads;Mappability (%);Nonduplicated reads;Duplication rate (%);Sequence Depth;;
;4;185.360.008 ;146.406.286 ;79,0 ;98.687.734 ;32,6 ;2,5 ;;
;5;173.102.684 ;139.662.668 ;80,7 ;78.954.815 ;43,5 ;2,0 ;;
;6;154.314.792 ;117.301.487 ;76,0 ;57.169.304 ;51,3 ;1,4 ;;
;7;225.512.421 ;165.337.830 ;73,3 ;97.447.016 ;41,1 ;2,4 ;;
;8;236.838.421 ;174.910.623 ;73,9 ;74.080.922 ;57,6 ;1,9 ;;
;9;169.813.693 ;134.097.600 ;79,0 ;98.179.126 ;26,8 ;2,5 ;;
;10;215.037.461 ;161.508.737 ;75,1 ;68.967.681 ;57,3 ;1,7 ;;
;11;163.894.162 ;126.172.835 ;77,0 ;86.571.379 ;31,4 ;2,2 ;;
;12;152.742.980 ;121.372.255 ;79,5 ;75.991.318 ;37,4 ;1,9 ;;
;13;151.999.190 ;113.577.704 ;74,7 ;75.833.684 ;33,2 ;1,9 ;;
;14;202.852.675 ;159.675.213 ;78,7 ;117.345.298 ;26,5 ;2,9 ;;
;15;141.474.977 ;112.673.941 ;79,6 ;72.672.242 ;35,5 ;1,8 ;;
;16;142.268.726 ;115.684.234 ;81,3 ;75.488.660 ;34,7 ;1,9 ;;
;17;152.891.582 ;121.139.929 ;79,2 ;67.600.448 ;44,2 ;1,7 ;;
;18;72.063.650 ;54.830.589 ;76,1 ;39.491.302 ;28,0 ;1,0 ;;
;19;102.624.178 ;75.839.416 ;73,9 ;39.343.211 ;48,1 ;1,0 ;;
;20;73.026.647 ;56.299.441 ;77,1 ;41.317.154 ;26,6 ;1,0 ;;
;21;98.392.731 ;71.652.951 ;72,8 ;55.930.990 ;21,9 ;1,4 ;;
;22;168.621.616 ;137.019.620 ;81,3 ;115.916.753 ;15,4 ;2,9 ;;
;23;75.634.959 ;58.746.138 ;77,7 ;46.764.110 ;20,4 ;1,2 ;;
;24;110.255.565 ;81.307.613 ;73,7 ;67.761.917 ;16,7 ;1,7 ;;
;25;102.260.394 ;72.287.645 ;70,7 ;62.608.240 ;13,4 ;1,6 ;;
;26;199.671.495 ;159.934.677 ;70,7 ;78.056.894 ;51,2 ;2,0 ;;
;27;205.140.024 ;166.513.358 ;70,7 ;131.431.962 ;21,1 ;3,3 ;;
;28;207.846.830 ;168.188.748 ;70,7 ;137.596.001 ;18,2 ;3,4 ;;
;29;191.182.941 ;154.980.939 ;70,7 ;122.902.907 ;20,7 ;3,1 ;;
;30;142.599.302 ;109.911.016 ;70,7 ;80.170.054 ;27,1 ;2,0 ;;
;31;181.310.671 ;145.090.367 ;70,7 ;93.229.176 ;35,7 ;2,3 ;;
;32;139.872.943 ;112.162.434 ;70,7 ;91.187.231 ;18,7 ;2,3 ;;
Lyphoma;1;254.566.135 ;194.950.282 ;76,6;119.968.665 ;38,5 ;6,0 ;;
Mixture experiments;1;101.445.648 ;76.666.158 ;75,6 ;76.459.398 ;0,3 ;3,8 ;;
;2;108.475.940 ;80.187.018 ;73,9 ;80.047.335 ;0,2 ;4,0 ;;
;3;114.137.766 ;60.740.718 ;53,2 ;60.572.625 ;0,3 ;3,0 ;;
;4;120.396.222 ;86.817.332 ;72,1 ;86.601.991 ;0,2 ;4,3 ;;
;5;124.350.588 ;85.638.849 ;68,9 ;85.400.268 ;0,3 ;4,3 ;;
;6;120.754.762 ;86.305.353 ;71,5 ;86.083.980 ;0,3 ;4,3 ;;
;7;113.716.565 ;85.381.130 ;75,1 ;85.209.853 ;0,2 ;4,3 ;;
;8;132.461.392 ;83.818.594 ;63,3 ;83.582.973 ;0,3 ;4,2 ;;
;9;120.105.956 ;82.796.668 ;68,9 ;82.606.925 ;0,2 ;4,1 ;;
;10;129.599.204 ;96.792.557 ;74,7 ;96.594.101 ;0,2 ;4,8 ;;
;11;136.331.455 ;77.755.735 ;57,0 ;77.534.690 ;0,3 ;3,9 ;;
;12;128.632.440 ;88.810.423 ;69,0 ;88.625.396 ;0,2 ;4,4 ;;
;13;139.040.725 ;87.647.334 ;63,0 ;87.421.950 ;0,3 ;4,4 ;;
;14;126.401.174 ;92.992.180 ;73,6 ;92.814.739 ;0,2 ;4,6 ;;
;15;136.649.129 ;77.972.472 ;57,1 ;77.759.131 ;0,3 ;3,9 ;;
;16;132.543.357 ;83.563.763 ;63,0 ;83.380.378 ;0,2 ;4,2 ;;
;17;131.970.362 ;75.932.756 ;57,5 ;75.743.519 ;0,2 ;3,8 ;;
;18;126.370.597 ;86.195.654 ;68,2 ;86.026.190 ;0,2 ;4,3 ;;
